lat,lon,name,timestamp,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,delay,confidence,road_closure,speed_ratio,congestion_level,traffic_score
33.95177778,-84.52108333,North,2025-03-28T15:20:34.796900,48,60,94,75,19,1,False,0.8,1,80
33.9423,-84.51568,North,2025-03-28T15:20:35.784304,31,49,126,79,47,1,False,0.6326530612244898,2,63
33.95030556,-84.52027778,South,2025-03-28T15:20:35.034893,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:20:36.049552,62,73,164,139,25,1,False,0.8493150684931506,1,85
33.95091667,-84.51977778,East,2025-03-28T15:20:35.251900,11,42,222,58,164,1,False,0.2619047619047619,4,26
33.94178,-84.5147,East,2025-03-28T15:20:36.312722,25,50,40,20,20,1,False,0.5,2,50
33.95097222,-84.52163889,West,2025-03-28T15:20:35.485351,31,46,160,108,52,1,False,0.6739130434782609,2,67
33.94178,-84.5167,West,2025-03-28T15:20:36.535803,44,59,159,118,41,1,False,0.7457627118644068,1,75
